Inflected Word       , Equivalent Root   ,Part-of-Speech
dad-on,dala,VERB
dad-a,dala,VERB
kan-on,kaon,VERB
kan-a,kaon,VERB
imnon,inom,VERB
imna,inom,VERB
sudlan,sulod,VERB
sud-an,sula,NOUN
palita,palit,VERB
wad-a,wala,VERB
gikalimtan,limot,VERB
tawga,tawag,VERB
butangi,butang,VERB
dungga,dungog,VERB
paminaw,minaw,VERB
pangutan-a,kutana,VERB
ganina,unian,ADV
ngan,ngalan,NOUN
manguha,kuha,VERB
sayaran,sayad,VERB
mambad,manbad,NOUN
mananabtan,sabat,NOUN
manan-aw,tan-aw,VERB
manukmanuk,manok,NOUN
manumbaga,tumbaga,NOUN
mapunti,malapunti,NOUN
maruy,maro,ADJECTIVE
nakusgan,kusog,ADJECTIVE / NOUN
nameligro,peligro,NOUN
namugos,pugos,VERB
tam-is,tamis,ADJECTIVE
tan-aw,tanaw,VERB
pan-os,panos,ADJECTIVE
